sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
k,g,1,1,T07_k3.wav,T07_g3.wav,T07,us2,distinct
k,g,1,1,T08_k3.wav,T08_g3.wav,T08,us2,distinct
k,g,1,1,T09_k3.wav,T09_g3.wav,T09,us2,distinct
k,g,1,1,T10_k3.wav,T10_g3.wav,T10,us3,distinct
k,g,1,1,T11_k3.wav,T11_g3.wav,T11,us3,distinct
k,g,1,1,T12_k3.wav,T12_g3.wav,T12,us3,distinct
k,z,1,1,T01_k3.wav,T01_z3.wav,T01,us1,distinct
k,z,1,1,T02_k3.wav,T02_z3.wav,T02,us1,distinct
k,z,1,1,T03_k3.wav,T03_z3.wav,T03,us1,distinct
k,z,1,1,T04_k3.wav,T04_z3.wav,T04,us1,distinct
k,z,1,1,T05_k3.wav,T05_z3.wav,T05,us1,distinct
k,z,1,1,T06_k3.wav,T06_z3.wav,T06,us1,distinct
k,z,1,1,T07_k3.wav,T07_z3.wav,T07,us2,distinct
k,z,1,1,T08_k3.wav,T08_z3.wav,T08,us2,distinct
k,z,1,1,T09_k3.wav,T09_z3.wav,T09,us2,distinct
k,z,1,1,T10_k3.wav,T10_z3.wav,T10,us3,distinct
k,z,1,1,T11_k3.wav,T11_z3.wav,T11,us3,distinct
k,z,1,1,T12_k3.wav,T12_z3.wav,T12,us3,distinct
f,theta,0,151,T01_f3.wav,T01_theta3.wav,T01,us1,confusable
f,theta,0,151,T02_f3.wav,T02_theta3.wav,T02,us1,confusable
f,theta,0,151,T03_f3.wav,T03_theta3.wav,T03,us1,confusable
f,theta,0,151,T04_f3.wav,T04_theta3.wav,T04,us1,confusable
f,theta,0,151,T05_f3.wav,T05_theta3.wav,T05,us1,confusable
f,theta,0,151,T06_f3.wav,T06_theta3.wav,T06,us1,confusable
f,theta,0,151,T07_f3.wav,T07_theta3.wav,T07,us2,confusable
f,theta,0,151,T08_f3.wav,T08_theta3.wav,T08,us2,confusable
f,theta,0,151,T09_f3.wav,T09_theta3.wav,T09,us2,confusable
f,theta,0,151,T10_f3.wav,T10_theta3.wav,T10,us3,confusable
f,theta,0,151,T11_f3.wav,T11_theta3.wav,T11,us3,confusable
f,theta,0,151,T12_f3.wav,T12_theta3.wav,T12,us3,confusable
f,p,0,27,T01_f3.wav,T01_p3.wav,T01,us1,confusable
f,p,0,27,T02_f3.wav,T02_p3.wav,T02,us1,confusable
f,p,0,27,T03_f3.wav,T03_p3.wav,T03,us1,confusable
f,p,0,27,T04_f3.wav,T04_p3.wav,T04,us1,confusable
f,p,0,27,T05_f3.wav,T05_p3.wav,T05,us1,confusable
f,p,0,27,T06_f3.wav,T06_p3.wav,T06,us1,confusable
f,p,0,27,T07_f3.wav,T07_p3.wav,T07,us2,confusable
f,p,0,27,T08_f3.wav,T08_p3.wav,T08,us2,confusable
f,p,0,27,T09_f3.wav,T09_p3.wav,T09,us2,confusable
f,p,0,27,T10_f3.wav,T10_p3.wav,T10,us3,confusable
f,p,0,27,T11_f3.wav,T11_p3.wav,T11,us3,confusable
f,p,0,27,T12_f3.wav,T12_p3.wav,T12,us3,confusable
f,s,0,18,T01_f3.wav,T01_s3.wav,T01,us1,confusable
f,s,0,18,T02_f3.wav,T02_s3.wav,T02,us1,confusable
f,s,0,18,T03_f3.wav,T03_s3.wav,T03,us1,confusable
f,s,0,18,T04_f3.wav,T04_s3.wav,T04,us1,confusable
f,s,0,18,T05_f3.wav,T05_s3.wav,T05,us1,confusable
f,s,0,18,T06_f3.wav,T06_s3.wav,T06,us1,confusable
f,s,0,18,T07_f3.wav,T07_s3.wav,T07,us2,confusable
f,s,0,18,T08_f3.wav,T08_s3.wav,T08,us2,confusable
f,s,0,18,T09_f3.wav,T09_s3.wav,T09,us2,confusable
f,s,0,18,T10_f3.wav,T10_s3.wav,T10,us3,confusable
f,s,0,18,T11_f3.wav,T11_s3.wav,T11,us3,confusable
f,s,0,18,T12_f3.wav,T12_s3.wav,T12,us3,confusable
f,sh,1,1,T01_f3.wav,T01_sh3.wav,T01,us1,distinct
f,sh,1,1,T02_f3.wav,T02_sh3.wav,T02,us1,distinct
f,sh,1,1,T03_f3.wav,T03_sh3.wav,T03,us1,distinct
f,sh,1,1,T04_f3.wav,T04_sh3.wav,T04,us1,distinct
f,sh,1,1,T05_f3.wav,T05_sh3.wav,T05,us1,distinct
f,sh,1,1,T06_f3.wav,T06_sh3.wav,T06,us1,distinct
f,sh,1,1,T07_f3.wav,T07_sh3.wav,T07,us2,distinct
f,sh,1,1,T08_f3.wav,T08_sh3.wav,T08,us2,distinct
f,sh,1,1,T09_f3.wav,T09_sh3.wav,T09,us2,distinct
f,sh,1,1,T10_f3.wav,T10_sh3.wav,T10,us3,distinct
f,sh,1,1,T11_f3.wav,T11_sh3.wav,T11,us3,distinct
f,sh,1,1,T12_f3.wav,T12_sh3.wav,T12,us3,distinct
f,g,1,1,T01_f3.wav,T01_g3.wav,T01,us1,distinct
f,g,1,1,T02_f3.wav,T02_g3.wav,T02,us1,distinct
f,g,1,1,T03_f3.wav,T03_g3.wav,T03,us1,distinct
f,g,1,1,T04_f3.wav,T04_g3.wav,T04,us1,distinct
f,g,1,1,T05_f3.wav,T05_g3.wav,T05,us1,distinct
f,g,1,1,T06_f3.wav,T06_g3.wav,T06,us1,distinct
f,g,1,1,T07_f3.wav,T07_g3.wav,T07,us2,distinct
f,g,1,1,T08_f3.wav,T08_g3.wav,T08,us2,distinct
f,g,1,1,T09_f3.wav,T09_g3.wav,T09,us2,distinct
f,g,1,1,T10_f3.wav,T10_g3.wav,T10,us3,distinct
f,g,1,1,T11_f3.wav,T11_g3.wav,T11,us3,distinct
f,g,1,1,T12_f3.wav,T12_g3.wav,T12,us3,distinct
f,n,1,1,T01_f3.wav,T01_n3.wav,T01,us1,distinct
f,n,1,1,T02_f3.wav,T02_n3.wav,T02,us1,distinct
f,n,1,1,T03_f3.wav,T03_n3.wav,T03,us1,distinct
f,n,1,1,T04_f3.wav,T04_n3.wav,T04,us1,distinct
f,n,1,1,T05_f3.wav,T05_n3.wav,T05,us1,distinct
