trial,condition,Response,RT,chanel,Acc
T,5,3,0.8845333,nonTT,1
T,3,4,0.8678593,nonTT,0
T,13,3,0.98818,nonTT,1
T,1,3,0.9856868,TT,0
T,0,3,1.1483731,TT,0
T,14,3,1.5514663,nonTT,1
T,9,3,0.8328858,nonTT,1
T,15,3,0.8672707,nonTT,1
T,3,3,1.4817667,nonTT,1
T,5,3,1.3008124,nonTT,1
T,12,3,1.0982469,nonTT,1
T,17,4,1.1658834,nonTT,0
T,7,4,1.6335804,nonTT,0
T,10,3,1.6348207,nonTT,1
T,1,4,1.5522632,TT,1
T,1,4,0.8494876,TT,1
T,1,3,1.4164813,TT,0
T,3,3,0.8805218,nonTT,1
T,11,3,0.5830333,nonTT,1
T,17,3,1.2694425,nonTT,1
T,6,4,0.9848726,nonTT,0
T,13,4,1.1663998,nonTT,0
T,0,3,0.8499159,TT,0
T,5,4,1.3165208,nonTT,0
T,4,4,0.8659307,nonTT,0
T,0,4,0.9323892,TT,1
T,15,4,1.0500029,nonTT,0
T,17,4,1.1338276,nonTT,0
T,0,3,1.1834638,TT,0
T,6,4,1.9008154,nonTT,0
T,8,3,0.8176811,nonTT,1
T,2,3,0.7668712,nonTT,1
T,12,3,0.7496293,nonTT,1
T,5,3,0.9531943,nonTT,1
T,6,3,1.231555,nonTT,1
T,15,3,0.8334741,nonTT,1
T,1,4,0.951768,TT,1
T,3,4,0.9839985,nonTT,0
T,13,3,0.7167344,nonTT,1
T,0,3,1.1665634,TT,0
T,8,3,0.6845025,nonTT,1
T,8,3,0.8997461,nonTT,1
T,8,3,0.4678739,nonTT,1
T,4,4,0.9156932,nonTT,0
T,14,3,0.9845166,nonTT,1
T,13,4,0.8340636,nonTT,0
T,0,4,1.1673412,TT,1
T,16,3,0.7312409,nonTT,1
T,3,3,1.0993434,nonTT,1
T,1,3,1.0354278,TT,0
T,7,3,0.7848854,nonTT,1
T,2,3,0.6997415,nonTT,1
T,5,3,0.8648442,nonTT,1
T,6,3,1.2515024,nonTT,1
T,12,3,0.783357,nonTT,1
T,16,3,1.0514234,nonTT,1
T,11,3,0.8669219,nonTT,1
T,0,3,0.8851281,TT,0
T,15,3,0.9009455,nonTT,1
T,0,3,1.422828,TT,0
T,3,3,0.8829764,nonTT,1
T,16,3,0.7169949,nonTT,1
T,0,3,0.6683264,TT,0
T,5,3,0.9152383,nonTT,1
T,7,3,0.5992906,nonTT,1
T,0,4,1.1834812,TT,1
T,8,3,0.7335428,nonTT,1
T,17,3,0.7507761,nonTT,1
T,12,3,1.1841996,nonTT,1
T,2,4,1.3005291,nonTT,0
T,7,4,1.6672067,nonTT,0
T,0,4,1.399615,TT,1
T,12,3,0.7686516,nonTT,1
T,10,3,0.7670471,nonTT,1
T,11,3,0.6175031,nonTT,1
T,4,3,0.9658323,nonTT,1
T,17,3,0.7489878,nonTT,1
T,1,3,0.8685178,TT,0
T,0,3,0.9661804,TT,0
T,8,3,0.6830601,nonTT,1
T,12,3,0.8506108,nonTT,1
T,9,3,0.8163142,nonTT,1
T,16,3,0.8350315,nonTT,1
T,6,3,1.1663423,nonTT,1
T,1,4,0.9672604,TT,1
T,2,3,0.6852735,nonTT,1
T,4,3,0.6503129,nonTT,1
T,0,4,0.7669705,TT,1
T,2,3,0.9159292,nonTT,1
T,7,4,1.2168129,nonTT,0
T,17,3,0.5317479,nonTT,1
T,1,3,0.8834757,TT,0
T,13,3,1.034616,nonTT,1
T,4,3,0.9500692,nonTT,1
T,10,3,0.582461,nonTT,1
T,8,3,0.5822338,nonTT,1
T,15,3,0.7355023,nonTT,1
T,13,4,0.7349613,nonTT,0
T,3,3,0.7835863,nonTT,1
T,8,4,1.1169268,nonTT,0
T,0,4,0.7668608,TT,1
T,6,3,0.7674653,nonTT,1
T,0,4,1.0501478,TT,1
T,4,4,1.7146117,nonTT,0
T,10,3,0.502233,nonTT,1
T,0,3,0.8987818,TT,0
T,7,3,0.7342613,nonTT,1
T,10,3,0.9351733,nonTT,1
T,5,3,0.6315815,nonTT,1
T,10,3,0.9165505,nonTT,1
T,13,4,0.9836696,nonTT,0
T,0,3,0.7988751,TT,0
T,2,3,1.1337179,nonTT,1
T,17,3,0.8835169,nonTT,1
T,7,3,0.7162089,nonTT,1
T,16,3,0.6148963,nonTT,1
T,9,3,0.698956,nonTT,1
T,8,3,0.8167688,nonTT,1
T,1,3,0.769906,TT,0
T,3,3,0.8025193,nonTT,1
T,0,3,1.4188368,TT,0
T,13,3,0.7824987,nonTT,1
T,4,3,0.7998446,nonTT,1
T,0,3,0.9658464,TT,0
T,13,3,0.803289,nonTT,1
T,3,3,0.6471548,nonTT,1
T,11,3,0.7000518,nonTT,1
T,4,3,0.7327293,nonTT,1
T,7,3,0.6832256,nonTT,1
T,15,3,0.6652635,nonTT,1
T,0,3,0.7337651,TT,0
T,15,3,1.5005772,nonTT,1
T,14,4,0.9679495,nonTT,0
T,16,3,0.6820381,nonTT,1
T,3,3,0.8493301,nonTT,1
T,0,3,0.6848408,TT,0
T,7,4,0.8685962,nonTT,0
T,8,3,0.8491662,nonTT,1
T,12,3,0.7507762,nonTT,1
T,4,3,1.3509056,nonTT,1
T,1,3,1.4833654,TT,0
T,12,4,0.9833263,nonTT,0
T,9,4,0.981945,nonTT,0
T,10,3,0.7174137,nonTT,1
T,0,3,1.0334931,TT,0
T,6,3,0.78418,nonTT,1
T,3,3,0.7167655,nonTT,1
T,1,3,1.6169105,TT,0
